,Unnamed: 0,tweeet,Sentimiento,Ponderacion
11899,11899,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
11900,11900,"Juliocanaltv antitaurinagirl for dreaming that it is not. Only the military can fix this kidnapping of the nation by traitors for Zionist/Globalist salary, but that people do not understand, think they are conspiracies. One day we will have to run when the evidence gives us in the morros.",negativo,-0.05
11901,11901,"You told me that ""it was impossible that the media agreed to say all the same message.
That's impossible! There are many and you see conspiracies that do not exist.
There is no black hand that manipulates them and tell them to say. Those are yours. ""
Insurance? Look closely. ",negativo,-0.1833333333333333
11909,11909,"I agree. And it is not for conspiracies or anything of the style. First because according to the rule it is not even a penalty, hits him in the elbow. But even giving him in his hand, it will take little to stop being in force. Because it is ridiculous that seems unsustainable. ",negativo,-0.0902777777777777
11910,11910,osvwal hahaaa .... You are like Victor Hugo .... all conspiracies ... ridiculous ....,negativo,-0.3333333333333333
11911,11911,"zanoni What was the failure? I started in a demolition he ordered and began to build. When there was activity, works, wholesale inflation was .% and above all had managed to survive all Helicoptero conspiracies and operations, another  and did not return anymore.",negativo,-0.1583333333333333
11915,11915,rfog penitw yovirtualizador Treki You don't have to look for evil or conspiracies when the answer is simple imbecility. Effectively.,negativo,-0.1333333333333333
11918,11918,"myNameismato The problem is that the poor had a pyrada fucking, there is no more, the rest are cheap speculation and conspiracies, if you have a loose crazy one, this happens",negativo,-0.2544871794871794
11919,11919,Laetxebarria how crazy cats and conspiracies ð¤£ð¤£ð¤£ð¤£ð¤£ð¤£,negativo,-0.6
11921,11921,"In podiumpodcast we release post for mystery lovers, secrets, conspiracies and stories. With dog of Satan and noelceballos_

Your fascination with the hereafter, the mystery and the unknown, begins here.

",negativo,-0.1
11922,11922,"Donaldofwallstâ¦ âApparentlyââ¦ conspiracies do not stop !! From a miserable Trump, it is customary in the hard right, ignore the results of the elections and, to worse, not deliver the command or participate in it! In Chile it did not happen that way; I hope it never happens!",negativo,-0.4077380952380952
11933,11933,"AlBowers TheFlatEartherr I didn't say it was forced.

They are mandatory all over the world.",negativo,-0.3
11938,11938,"electo_mania maybe Almeida is good in the issues to which he is dedicated (nationals, conspiracies in PP, ...), but as mayor of Madrid he is lousy. What I can't stand is a mayor who does not have a concept of the city he wants and only follows the previous inertia. If you stop, you stay behind",negativo,-0.0277777777777777
11943,11943,"Two consecutive losses of the UD and the usual ones begin to talk about robberies, arbitration conspiracies and the every season back here.",negativo,-0.125
11945,11945,Elautorperdido zirrachidomo emmarincon Ufff How psychologist those sayings leave much to say. Just touches themes of state secret and/or conspiracies.,negativo,-0.1
11946,11946,"Ekizde juliorazona According to you everyone did it wrong, it is absurd.",negativo,-0.5
11947,11947,"Ekizde juliorazona after calling me miserable and insinuating that I don't care about the life of  thousand people because I speak a statistician? Hahahajajajajjajajjaj
Pathetic + Pathetic + Does not think before commenting",negativo,-1.0
11948,11948,"Jacquelinelpez bernardocolsa I schere that already directly the arbitration collective arrives in Santander and says come, let's go to these ...
I don't believe in conspiracies but AlavÃ©s has  games with help. Casually everything from the alleged employer closure where the ones that most thebes supported ...",negativo,-2.775557561562892e-17
11950,11950,"villarragagui elRomanodelfcb Wells continue with your tares and your Judeomonic conspiracies Anunnakis

That BarÃ§a as long as these aspects do not improve in addition to the game, in Europe the team is fried, which I do want it to do

So many injuries is not normal",negativo,-0.00625
11951,11951,Mineofyours that denies the holocaust for the historical distance or Sandy Hook for stupid conspiracies. But nrgar -S? ð³,negativo,-0.3999999999999999
11955,11955,The attack on Paul Pelosi opens the pandora box of hate and conspiracies in the US with Musk and Clinton in between ,negativo,-0.8
11956,11956,I have listening to an old man to talk about conspiracies and other things for  hours. I'm going to kill myself.,negativo,-0.0124999999999999
11958,11958,The attack on Paul Pelosi opens the pandora box of hate and conspiracies in the US with Musk and Clinton in between ,negativo,-0.8
11960,11960,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
11963,11963,"wallstwolverine, was the former Twitter general director not married to a family Drl Borbon prepared or I have dreamed? Those do not need",negativo,-0.0249999999999999
11965,11965,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
11968,11968,"El_universal_mx always live with the litany of fraud and conspiracies to damage them, impossible not to think that they want to twist the INE in its short term. If you want to, Parle! that they do it differently and plural. Civil society included and nothing that in  weeks we end.",negativo,-0.1325757575757575
11971,11971,Conspiracies against my mental health,negativo,-0.1
11974,11974,Edwinstrini victorzpavon hahaha you mixed  false conspiracies out there .. idol ðð,negativo,-0.0666666666666667
11975,11975,"What's that? A game of couples? Show me other things, conspiracies, strategies whatever but I am not interested in what happens to the #Granhermano couple",negativo,-0.2166666666666666
11984,11984,"Elmoresucitada ð ð ð ð This tweet was missing to complete the day, ""the conspiracies of the shit"" The new fable of uncle Elmo ... NI",negativo,-0.0409090909090909
11985,11985,"mparra_l Latercera refers to illegal immigrants crossing the Canal de la Mancha, specifically",negativo,-0.5
11988,11988,"anabellan Why are the right ones in Chile, they are not anti -vacuna, anti sanitary pass and conspiracies and are only hysterical right -wing ???",negativo,-0.1071428571428571
12002,12002,Antonellarechaz saint_patrick clint_Joselito Your silly conspiracies need arguments? ð ð,negativo,-0.5
12004,12004,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12008,12008,"They are conspiracies, such as the Criminal for Colinbia ð¤£ð¤ð¼ð¤£. END ",negativo,-0.2
12011,12011,martinezserrap pgonzrodriguez bertagdvega todomejorqenada It is you who has taken the issue of conspiracies and you are launching the absurd idea that the only argument that people use against the ð is that there are interests behind.,negativo,-0.3
12014,12014,"martinezserrap pgonzrodriguez bertagdvega todomejorqenada ah, go, you tb conspiraic ..

Well, we said that. That is why it is absurd to respond with video of ""because people believe in conspiracies."" Exactly, efficacy/insurance. It depends on the data, q are bad  (but interests can affect how they are investigated and disseminated)",negativo,-0.3166666666666666
12019,12019,"Through D Tuiter  Mundo Convulso: Despair in Palestine, Brazil on the edge D  catastrophe x fans, Russia/Ukraine in world political hands without control, racial discrimination in the USA does not change, Haiti  dusty, chili and conspiracies of factual power , Etc.",negativo,-0.2
12023,12023,"AlBowers TheFlatEartherr I'm just saying that because you posted the nyt's article bro, i mean she is getting paid for writing that, and journalists don't have accountability issues, politicians do, idk if you get my point",negativo,-0.3125
12025,12025,AlBowers TheFlatEartherr we are literally destroying our inmune systems and changing our habits for the worst. Future generations will pay the price.,negativo,-0.3999999999999999
12031,12031,"Veritalibertas gamba_cl With a law? There are short, medium and long term solutions to face a problem, has the government taken any measure like that?",negativo,-0.025
12034,12034,"AlBowers TheFlatEartherr Oh i'm not talking about her, that's why i say ""we will see"".

And no, misinformation isn't dangerous.",negativo,-0.6
12040,12040,matacruz cherral does that mean there is no invasion? No cache,negativo,-0.3125
12047,12047,"EnderT joseflrsc Llarechadiario The fascists whenever they lose do this, begin to launch conspiracies of electoral fraud and that in the end do not end at anything, in Chile they also tried to install an alleged fraud, a very mediocre copied libretto",negativo,-0.375
12051,12051,"As the bitter are, we are sorry for the networks, crying and weaving conspiracies, which underline fell, continue like this and tomorrow to put on the jacket of Tigre, but are they going to celebrate ??? Buuuu",negativo,-0.2666666666666666
12052,12052,The conspiracies are not incredible. Rather it is something simple and boring. The archeology and hidden history of humanity. That is a little more interesting than talking straw.,negativo,-0.1148809523809523
12056,12056,"Fed up with the manufacture and use of weapons without any scruple, denying what a life costs. Tired of people plunged into total disaffection, vacuum, conspiracies, without affection ... fed up with the consequences that all this has and that they are not set limits!",negativo,-0.1368055555555555
12060,12060,"You talk about conspiracies and people laugh and find you crazy.
Can my someone explain to me why this is covered and is not a world scandal? ",negativo,-0.15
12061,12061,"We are facing a terrible drift. The worst possible, controversial, referees, conspiracies, Madrid-BarÃ§a and vice versa at all hours and for the worst as possible from one side to another and prejudices eat it all. It is unfortunate. Fanaticism dominates everything.",negativo,-0.4214285714285714
12066,12066,Lorddiego marc_x sergios Miguelrodram cuentamister carlos Pathetic sick who sees conspiracies in everything ... And he spends his life with frown and bitter ... is a mental illness ...,negativo,-0.4785714285714286
12067,12067,"Cuentamister Championsleague uefacom is because this was stipulated subnormal, it is not because UEFA wanted to harm your blessed team, already leave conspiracies that you would have also eliminated ð",negativo,-0.6
12069,12069,"Criscancellara Rmadrid_ista Mistchip No, more benefited by arbitration errors. The newspaper library is there.
I do not speak of that concrete action, I speak that every time there is an error against him there is talk of conspiracies, I hate Madrid, etc. And it is evident that there is no arbitration campaign vs Madrid or BarÃ§a.",negativo,-0.11
12074,12074,"gabsojitosverde foxnews tuckercarlson one of the worst sensationalist reporters of USA. Because it does not go to prestigious programs where reports are based on realities and not conspiracies? MSNBC, CNN, CNN in Spanish, Yahoo, PBS, are some where they have recognized reporters, not puppets",negativo,-0.5
12087,12087,"Conspiracies, multiversos, Nazis and even terrifying viruses, these science fiction series will catch you ",negativo,-1.0
12091,12091,"Twiter

to work
Forget impossible conspiracies

TWITER WORKS FOR YOU

tissss ",negativo,-0.6666666666666666
12099,12099,"Montealegretol Juanfranxx simonni gabrielboric lulaoficial I have not posted any cover, I don't know what you are talking about. What I said is an opinion and I present it as such, shared by many citizens, co -workers, entrepreneurs, etc. Maybe we could be worse (ð¤£), but illegal security and immigration is the height.",negativo,-0.08
12101,12101,"Lorddiego mar_x sergios Miguelrodram cuentamister carlos_braach That same being, which he believes in those conspiracies, continues That would mean that there is no manipulator.

That is, he lives in a utopia.",negativo,-0.15625
12103,12103,"Eau_de_te bopnc henry_luna AlejandrCamb noeliadetrastm conspiracies do not necessarily have to be false, it is a theory of what happened, and the image-video tests and logical arguments denies you",negativo,-0.05
12105,12105,"Montealegretol Juanfranxx Simonni gabrielboric lulaoficial genius, I am saying that you have to argue that we are supposed to live badly because of ""La Eresha"". You have to argue it as a rule of any exhibition/argumentative discourse. Or you can confess that you have no idea what you are talking about.",negativo,-0.2818181818181817
12109,12109,Gomezruben who says the one who sees conspiracies even in the cereal? I block me for answering the meaningless tweets that always puts,negativo,-0.5
12125,12125,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12128,12128,"Sebastianohra bogotaensis to make it vulgarly, Hitler's line with respect to socialism and communism was the same as any anti -Semitic Internet forum: Jewish conspiracies. Hitler was not a socialist in our terms, because his ideas of common good dealt with race and earth.",negativo,-0.06
12129,12129,"pagina_siete seems that the conflict is no longer ideological, but there are secret conspiracies that take advantage of the conflict and make it a power competition, creating instability to cause changes in the political map.",negativo,-0.2
12133,12133,He returned with his fantasy conspiracies to thin the environment from which he can get revenue with the illusions and ignorant who believe him. ,negativo,-0.4
12135,12135,"Stop looking for conspiracies where there are no and guilty where it does not correspond, have a little shame (look for that word in the dictionary because you do not know it) and take charge of their actions, they are not in a position to point to anyone. And if they don't know what to do, advantage",negativo,-0.34375
12137,12137,"benjaminpacini GBlattenberger DeAngelisCorey ProfEmilyOster TheAtlantic ""POLITICAL VINDICTIVENESS"" HAHAHHAHAHAHAHHAHAHAHHAHAHA

not funny + not political AT ALL",negativo,-0.0416666666666666
12138,12138,benjaminpacini DeAngelisCorey ProfEmilyOster TheAtlantic HOW IN HEAVEN IS THIS A BAD TAKE LMAO,negativo,-0.0499999999999999
12144,12144,"The massacres that stained the cities of Red were only the beginning, the beasts that released were a mere warning, the conspiracies that led to wars were the tip of the iceberg",negativo,-0.1666666666666666
12150,12150,abogdashin Maestra_Momma Yo that man super crazy,negativo,-0.1333333333333333
12152,12152,"it is an obligation!! Everything that is to rebel before the authority looks like the main drug of the community, and it is tired eh. Message for all: Leave the conspiracies and stubbornness aside. If the uncle is banned, it is because he deserves it and already, there is nothing to question",negativo,-0.1166666666666666
12156,12156,"Romancito fifaworldcup_es You are just an idiot, who believes in conspiracies that suits him, go to read is AS and the CTMR brand. ",negativo,-0.8
12164,12164,The lies and conspiracies against the Colombian people follow ... you just have to go to the border to realize that it is still closed and that there is no vehicle pass He doesn't want to open it is Maduro ,negativo,-0.05
12168,12168,"Again soup. They love to see conspiracies, they are manual. They don't know what to invent to fuck and drag others to the same mud

A prosecutor accused Mauricio Macri of having mounted an alleged systematic plan for illegal intelligence ",negativo,-0.1
12174,12174,"Ivanmm But is what I have always said, right?
I have always said that they are very bad, that I don't think in conspiracies",negativo,-0.312142857142857
12178,12178,Bad hand mine but lately I have been in water conspiracies because I have already had nearby people who were super Healthy to die of cancer and it doesn't make sense to me. But everything I see against water does make sense of a damn government,negativo,-0.0416666666666666
12183,12183,"Richarddees sanantheone radiomarca raulvarelar Paul_Tenorio Pepegh No, No. You can talk about rora, arbitral conspiracies, that Thebes saves BarÃ§a, that the fererration does not allow Madrid to take off, of ... but say that a referee is of white past ???? That lack of shame and professional rigor, hey !!!",negativo,-0.0182291666666666
12189,12189,"Stop looking for conspiracies where there are no and guilty where it does not correspond, have a little shame (look for that word in the dictionary because you do not know it) and take charge of their actions, they are not in a position to point to anyone. And if they don't know what to do, advantage",negativo,-0.34375
12190,12190,Amen. Some have lived from these conspiracies for a long time. ,negativo,-0.05
12191,12191,"Again soup, they love to see conspiracies, they are manual. They don't know what to invent to fuck and drag others to the same mud

A prosecutor asked to investigate Mauricio Macri for setting up an alleged system of ""illegal intelligence"" against opponents ",negativo,-0.1
12193,12193,"Guille_ok infobae jpmorgan looks for the credit agency you want, to the Japanese. They all give the country a ""junk grade"" rating. So the conspiracies leave them aside and be a little more serious. Everyone knew what was going on what is happening.",negativo,-0.0052083333333333
12194,12194,"This is already unlikely. It may be that someone swallowed one, two or five magufadas/conspiracies, but if you are always there to spread any shit by chorra, then it is that nothing is believed of what it says. He does it to obtain attention and monetize content. ",negativo,-0.35
12197,12197,"Stop looking for conspiracies where there are no and guilty where it does not correspond, have a little shame (look for that word in the dictionary because you do not know it) and take charge of their actions, they are not in a position to point to anyone. And if they don't know what to do, advantage",negativo,-0.34375
12201,12201,"However, Los AmaÃ±os, purchase of matches, doping of players and other conspiracies they hovered on the club.
Outside goals, non -existent penalties, etc ...
They are some of his controversies.

This caused the club to be hated throughout East Germany.

#Berlin ",negativo,-0.3416666666666666
12203,12203,"Beatriztalegon Madam, this was already talked about almost two years ago, if you are going to sell ridiculous conspiracies at least looking for some more novel

",negativo,-0.0444444444444444
12204,12204,"Again soup, they love to see conspiracies. They don't know what to invent to fuck and drag others to the same mud

A prosecutor asked to investigate Macri for leading an alleged systematic plan for illegal espionage for political and personal purposes ",negativo,-0.075
12206,12206,"The stories of conspiracies and how bad the Masons are still spinning.
Conspiracies and conspiracy. ",negativo,-0.6999999999999998
12210,12210,Casalsbate is not known which is more idiot if Carlos Rubio or Cassals. That their conspiracies and hoax films live,negativo,-0.0545454545454545
12214,12214,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12215,12215,"gordobordoy mullhernande divulgameteo meteoredes, that is, that behind the calima you also believe that there are conspiracies to poison us.
Climate change does not mean intentional poisoning of people. If you go by car or bus, do you do it to heat the planet and cause millions of victims?",negativo,-0.121875
12216,12216,"robotindecapria reydecopas_ diablingoyyo pilludinho does not give them ball
They were told about the successful king, mystique, national pride, which now with a bad streak, living inventing: (there are conspiracies, which could not vote / guilt of Moyano).
So you never lose indpte
They always rob us/ there are videos !!!",negativo,-0.3166666666666666
12219,12219,"minutounocom How they like to see conspiracies, they are manual. Any circus to get into a victim and that is not spoken of inflation, poverty and adjustment. Do you know who found intelligence folders in a raid at home? Yes, they know, or do you want me to do a drawing? ",negativo,-0.075
12224,12224,"#diasetapas
I go late but well, I do today  and that's it.
Let's start with Hickman's secret warriors. The first long series through which the screenwriter passed, we have espionage, conspiracies and a lot of action. ",negativo,-0.0799999999999999
12225,12225,"Robrocas sees Russian conspiracies x everywhere, attacks NATO's critics and defends himself from the criticisms they make to him as a crio, he has that ridiculous belief of mode. doing well and is an anglophil although he says no",negativo,-0.1666666666666666
12227,12227,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12231,12231,"Faryjospho of my comments you stay with a spelling error, I take it for granted that you are a minimal professor, minimum.
Greetings, continue with your conspiracies and spelling battles",negativo,-0.1
12232,12232,"If the child in the sixth sense sometimes saw dead, MarÃ­a PatiÃ±",negativo,-0.2
12233,12233,"It seems that the conflict is no longer ideological, but there are secret conspiracies that take advantage of the conflict and make it a power competition, creating instability to cause changes in the political map.",negativo,-0.2
12238,12238,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12243,12243,"Reality arielipillo How do you think so much idiocy?
God with which security say barbarities, are at the level of the embankments with their conspiracies. They are already putting their excuses and they only demonstrate defeatist mentality.
Indescribable the truth, forgive them Christian, they do not know what they do.",negativo,-0.0999999999999999
12244,12244,"Ekizde juliorazona under the logic of your arguments All the presidents of the world are murderers and miserable. Do you realize how idiot it is to affirm that? Well, if you understood logical if you would realize.",negativo,-0.5166666666666667
12245,12245,"Ekizde juliorazona again? Are you silly or is this very difficult to understand? Why do you change the subject? Ah, because you said stupidity, I have made you see, and that's why you've fought like a little girl. ",negativo,-0.4208333333333333
12246,12246,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12249,12249,"It is shocking to see how many things were considered ""misinformation"" in the last  years, but in reality they turned out to be true ...
Yesterday's ""conspiracies"" become tomorrow's truths.",negativo,-0.0375
12251,12251,"Aertamundiai drvargasquemba - There was not even a fraud, the electoral system worked perfect as it has always been in Brazil, only the losers and paranoids of absurd and artificial conspiracies incite these types of things .. also blow why? An electoral act does not give for blows that is betrayal ..",negativo,-0.0599999999999999
12252,12252,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12253,12253,"Jerryelvaquero_ OnLyspeakfacts Mauriciomunizd jordiwild you are very nervous, Jerry, quiet. Now you come with the conspiracies ... Seriously, leave it, I see you affected.",negativo,-0.0444444444444444
12254,12254,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12255,12255,"el_chela pamelche antiextremista eldocttorTiempo champurria_bot I have not hit people, nor tortured, nor mutilated, less murdered. I have neither raised assemblies, conspiracies, nor made false accusations, nor false evidence, .....
And I am wrong?
ðððð¤£ð¤£ð¤£ð¤£ð¤£",negativo,-0.3666666666666667
12258,12258,"""But conspiracies, often rivals or even contradictory, that is, the confidential attempts of several groups of people who act together in the search for a certain common objective, are in fact a characteristic always present of social reality.""

""HHH.""",negativo,-0.0170068027210884
12261,12261,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12263,12263,"Lula takes up a broken Brazil
The rightist Jair Bolsonaro would be wrong if the electoral result was question",negativo,-0.3666666666666667
12272,12272,"sirjoseandres laliga fcbarcelona_es realmadrid You must already be bad in the head to see conspiracies against the Team on Middle Spain, which brings more income to the League.

If there is something, which I do not believe, in any case it will be in reverse.",negativo,-0.0666666666666666
12274,12274,"Tomorrow  - pm.  Conspiracies program with Oscar Abudara Bini ""False complaints"" ",negativo,-0.4000000000000001
12279,12279,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12280,12280,"Graphenate but not much, because they need a misfortune to spend every time to talk about conspiracies. I would fuck me to plan a worldwide annihilation and make it so little in a few. ",negativo,-0.221875
12281,12281,channelNoticias What God does it mean?,negativo,-0.3125
12282,12282,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12283,12283,"BenBarahona History is repeated: the folds sinking the country, the left -handed guilty blaming the ultra right, left -handed looking for imperialist and business conspiracies .. left -handed people expelled by the people ..",negativo,-0.0428571428571428
12289,12289,"How angry people who question an electoral result only because they don't like it. It is what people chose, point. If you do not like the democratic system and you prefer an autocracy, do not invent conspiracies or delegimices the scrutiny. For that there is electoral justice",negativo,-0.25
12295,12295,"irimiabarroso now the resuscitation techniques RCP are suspicious. That fool does not know that chest compressions are part of that process, along with mouth -to -mouth breathing. That annoyed these people seeing conspiracies everywhere.",negativo,-0.4
12296,12296,"rivapa segob_mx fgrmexico a_encinas_r lopezobrador_ You see visions so that you invent non -existent conspiracies.
Your discredit is total, you've never had it.
Bored.",negativo,-0.25
12299,12299,"Stop looking for conspiracies where there are no and guilty where it does not correspond, have a little shame (look for that word in the dictionary because you do not know it) and take charge of their actions, they are not in a position to point to anyone. And if they don't know what to do, advantage",negativo,-0.34375
12307,12307,"Maestromelena Conspirations, minimal take another variant from Coronavirus",negativo,-0.1
12310,12310,"Don't you get tired of doing a little more ridiculous?

That is, maximum respect to celebrate what he wants as long as he does not violate anyone, but those statements so deliberate and stupid full of absurd conspiracies. ð¤¦ââï¸ ",negativo,-0.1356481481481481
12313,12313,"Leomr archivesdel you have to overcome, it is assumed that the greatness of sports gestures lies there. Or, crying conspiracies.",negativo,-0.2
12318,12318,"Puraviday ninapatriot mav_erick geovanni_bello What? If you believe in Qanon, you can see that you know fed up ð¤¡. Stay with your super hyper secret status, nobody seriously in the world believes Qanon, I already spent his quarter of an hour and it was all a lie. And obvious that I don't look like you, now I am no longer spreading conspiracies that never happen.",negativo,-0.1
12322,12322,irimiabarroso fartan these conspiracy. They are even bad to invent conspiracies,negativo,-0.6999999999999998
12324,12324,How difficult it is to know the truth. But you have to keep trying ...,negativo,-0.5
12333,12333,"It is not worth, the gringos have the pleasure in the cul how are I going to tell me that Cars  Aka the spy and conspiracies movie, is it the worst in the saga? The brain will be reviewed",negativo,-0.575
12334,12334,"You have time to start crying
Build conspiracies
Do berretas operations
Pay for a shirt and not use those exchange ridiculous
Pay attention to the WhatsApp group that completely where you are a stupid and servile lacyo to now start obeying orders ",negativo,-0.3083333333333333
12335,12335,Juannave as simple as looking for what happened in #astroworld but prefer to believe in absurd conspiracies.,negativo,-0.25
12336,12336,"Ekizde juliorazona No, I am saying that it is irrelevant according to what is being discussed. Googlea ""Fallacia ad hominem""",negativo,-0.5
12340,12340,"Yuryhdz GuaidÃ³ is like all the experiments of the eeuu, states of states, revolutions of colors, zellensky, false flags, twin towers, al Qaeda, ISIS and all the attacks, conspiracies and explosives of the world. A frightful rot.",negativo,-0.4000000000000001
12342,12342,"lenyh novive_socialis because people in Latam vote on the contrary to the government on duty, so  years ago everyone said that the right wave was coming and eight years ago was the red wave. The same if you help you believe in conspiracies ahead, the left has the same belief when they fail",negativo,-0.0357142857142857
12343,12343,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12350,12350,monicacorrales who read newspapers with conspiracies are the same as dangerous ... Latin America has always chosen bad,negativo,-0.4333333333333333
12354,12354,"_Manuel_RP_ The demon night I have not seen, I see that it is available at Amazon Prime so I will see it shortly.

Of course, ""The Empty Man"" without being round is very curious, in parts it reminded me of some conspiracies of the s.",negativo,-0.0059999999999999
12362,12362,This had never happened before ... just in the Second Cold War. The protocols of the Sages of Zion (Russia ) speak of a Masonic conspiracy to dominate the world implementing communism in all countries of the world ... conspiracies that come true. ,negativo,-0.0833333333333333
12368,12368,LACB aliomarbracho that ignorant you know why they were that actions for the conspiracies against the Eternal Commander Hugo Chavez FrÃ­as or do not remember the oil strike and could not give the coup d'etat only a few hours lasted Carmona and every day they continue to conspire,negativo,-0.1
12372,12372,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12373,12373,"What would be the right if I did not have the possibility of attacking the left?
Would we know about your conspiracies?
They throw darts against
To someone not to answer about their issues, it is the tactic of care deviation confusing the listener
They would have to find other people",negativo,-0.0348214285714285
12386,12386,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12387,12387,Hopefully but seriously talking ... the right at some point will realize their mistakes or will they keep blaming conspiracies ??? ,negativo,-0.0238095238095238
12389,12389,"pgonzrodriguez If you ask you about your sources of information (I have done it before) you realize the mental soup they have. They use ridiculous sources, never contrasted, and that usually spread different conspiracies. Anti -Vacunas, Terraplanists, climatic denialists, all overlap.",negativo,-0.1708333333333333
12398,12398,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12399,12399,"kaereoenea Vargas PeÃ±a was discharged by repeating several conspiracies, facos verses and how much Saraza could to grab the ignorant conspiracy public who ended up believing them and is now an anti -vacacunas, anti agenda, anti globalism and anti everything.
Poor old GagÃ¡",negativo,-0.02
12403,12403,"They blame democracy, to the fact that the elections are fraudulent, to the ignorance of the people ... the hard right does not make self -criticism, they could assume that these years of disseminating fakes, theories of conspiracies, anti -vaccines and anti -quarantine bulos Made is crazy",negativo,-0.201984126984127
12404,12404,"Promakos_ These conspiracies have no end, I believe that the US created the myth to distract the Russians in the cold war, someone joked and climbed until it got out of control ð. Although I have to admit that one day I saw something weird in the night sky and I was not alone.",negativo,-0.55
12407,12407,"Merenguemaria my mother with the conspiracies ... yes, of the shit of the game that Madrid did yesterday does not speak God. ð¤£ð¤£ð¤£",negativo,-0.3
12411,12411,"Conspiranoic conspiracies: Bad Bunny arrived before to get a session, right? bizarrap ð",negativo,-0.207142857142857
12412,12412,"Otodosmentiratv that lady k smokes ??? All day with conspiracies and persecutions, if they are the ones who do not let the Spanish speak in Catalonia, among other things, independents = Nazis",negativo,-0.0625
12415,12415,"Accidentalsutep will feel special thinking that they chase her and put together conspiracies around her ... poor.
Flag the medication",negativo,-0.0214285714285714
12416,12416,"Muchapichagpx andreadovizioso ra_forada, that is, certain pilots and brands were not victims of conspiracies. They simply did not adapt. Simon Crafar confesses that he could not adapt to the change from Dunlop to Michelin. A construction change can be as difficult as a provider change. Ramon explains it well.",negativo,-0.0952380952380952
12420,12420,"Stop looking for conspiracies where there are no and guilty where it does not correspond, have a little shame (look for that word in the dictionary because you do not know it) and take charge of their actions, they are not in a position to point to anyone. And if they don't know what to do, advantage",negativo,-0.34375
12421,12421,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12427,12427,"#Lula won. The #brasil of the peoples and the poor becomes the priority. Police and judicial conspiracies, prison and media bombings failed ",negativo,-0.45
12429,12429,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12431,12431,"Proverbs : - is wisdom. The fuel for division fires, hate, disputes and anger is the whisper. The whisper spits gossip, conspiracies and false allegations with soft words that hide an evil heart wants to manipulate the naive and simple.",negativo,-0.3624999999999999
12434,12434,davidfrum TheAtlantic got me nostalgic ,negativo,-0.5
12436,12436,"As we are so paranoid with the conspiracies, it would not be bad to throw an on a possible arrangement between Laporta - Messi, so that the latter, it went to France to earn a little money that in Barcelona could not pay him, what do you think? could this have happened in a parallel universe? ",negativo,-0.1774999999999999
12437,12437,"Stop looking for conspiracies where there are no and guilty where it does not correspond, have a little shame (look for that word in the dictionary because you do not know it) and take charge of their actions, they are not in a position to point to anyone. And if they don't know what to do, advantage",negativo,-0.34375
12440,12440,ð No more conspiracies! Hitler definitely died in  according to an analysis of his teeth ,negativo,-0.15625
12442,12442,"Mundoiac Dialeole hahaha
You have less football than for you
RDLP gave Racing two penalties
Get out of conspiracies but you talk about the Bostera AFA !!!

Mamita",negativo,-0.0627604166666666
12447,12447,"Stop looking for conspiracies where there are no and guilty where it does not correspond, have a little shame (look for that word in the dictionary because you do not know it) and take charge of their actions, they are not in a position to point to anyone. And if they don't know what to do, advantage",negativo,-0.34375
12451,12451,"Ceciliast Martagh__ wharfrat_de As we will not be as we are, if you want to believe any gross stupidity. The world is complex enough, but not everything goes through conspiracies. They also happen tragedies.",negativo,-0.2249999999999999
12452,12452,"""The conspiracies [or the search for patterns where there are no] are a way of ignoring how difficult it turns out to understand randomness.""

Michael Shermer, interviewed by Andrew Gold.
#Cosasqueoigo",negativo,-0.5
